imagesize,convtime,magtime,supptime,sorttime,edgetime,hysttime,d2htime,hd2time
256, 0.115, 0.037, 0.027, 0.290, 0.024, 0.021, 1.147, 0.146
256, 0.107, 0.033, 0.026, 0.286, 0.026, 0.021, 1.110, 0.152
256, 0.106, 0.036, 0.028, 0.286, 0.025, 0.022, 1.107, 0.144
256, 0.110, 0.036, 0.026, 0.291, 0.025, 0.022, 1.163, 0.145
256, 0.112, 0.039, 0.028, 0.305, 0.026, 0.023, 1.380, 0.159
256, 0.107, 0.037, 0.027, 0.292, 0.025, 0.029, 1.143, 0.150
256, 0.115, 0.036, 0.027, 0.285, 0.026, 0.022, 1.148, 0.145
256, 0.107, 0.036, 0.028, 0.286, 0.026, 0.022, 1.113, 0.175
256, 0.107, 0.037, 0.026, 0.288, 0.025, 0.022, 1.115, 0.146
256, 0.106, 0.036, 0.028, 0.290, 0.025, 0.021, 1.132, 0.145
256, 0.107, 0.036, 0.027, 0.287, 0.024, 0.021, 1.152, 0.152
256, 0.107, 0.037, 0.026, 0.296, 0.024, 0.021, 1.116, 0.146
256, 0.107, 0.036, 0.026, 0.288, 0.024, 0.022, 1.157, 0.147
256, 0.106, 0.035, 0.028, 0.286, 0.026, 0.022, 1.155, 0.150
256, 0.110, 0.035, 0.027, 0.297, 0.036, 0.022, 1.250, 0.155
256, 0.107, 0.036, 0.027, 0.289, 0.025, 0.022, 1.150, 0.144
256, 0.107, 0.037, 0.027, 0.288, 0.025, 0.022, 1.157, 0.145
256, 0.107, 0.036, 0.026, 0.289, 0.026, 0.021, 1.107, 0.145
256, 0.109, 0.037, 0.027, 0.289, 0.025, 0.021, 1.144, 0.145
256, 0.110, 0.036, 0.027, 0.292, 0.025, 0.022, 1.187, 0.151
256, 0.107, 0.037, 0.025, 0.310, 0.025, 0.021, 1.125, 0.145
256, 0.109, 0.038, 0.028, 0.296, 0.025, 0.022, 1.220, 0.161
256, 0.108, 0.037, 0.026, 0.296, 0.025, 0.021, 1.151, 0.144
256, 0.104, 0.037, 0.026, 0.286, 0.025, 0.021, 1.146, 0.153
256, 0.106, 0.036, 0.026, 0.285, 0.025, 0.029, 1.149, 0.146
256, 0.106, 0.037, 0.026, 0.287, 0.024, 0.022, 1.139, 0.145
256, 0.106, 0.037, 0.026, 0.287, 0.024, 0.021, 1.159, 0.144
256, 0.106, 0.036, 0.026, 0.287, 0.027, 0.022, 1.161, 0.152
256, 0.106, 0.037, 0.026, 0.294, 0.025, 0.023, 1.187, 0.149
256, 0.106, 0.036, 0.026, 0.286, 0.025, 0.022, 1.121, 0.144
512, 0.305, 0.112, 0.071, 1.185, 0.070, 0.062, 5.068, 0.484
512, 0.288, 0.111, 0.072, 1.113, 0.071, 0.061, 4.646, 0.426
512, 0.287, 0.111, 0.070, 1.084, 0.073, 0.069, 4.570, 0.423
512, 0.289, 0.110, 0.070, 1.093, 0.070, 0.061, 4.576, 0.417
512, 0.287, 0.110, 0.070, 1.092, 0.072, 0.063, 4.554, 0.418
512, 0.288, 0.111, 0.069, 1.084, 0.071, 0.063, 4.566, 0.428
