imagesize,convtime,magtime,supptime,sorttime,edgetime,hysttime,d2htime,hd2time
256, 0.107, 0.031, 0.026, 0.285, 0.021, 0.020, 1.148, 0.150
256, 0.107, 0.031, 0.026, 0.283, 0.022, 0.019, 1.142, 0.144
256, 0.107, 0.030, 0.042, 0.288, 0.022, 0.019, 1.163, 0.146
256, 0.106, 0.031, 0.026, 0.287, 0.021, 0.020, 1.136, 0.146
256, 0.115, 0.030, 0.026, 0.283, 0.023, 0.019, 1.131, 0.145
256, 0.104, 0.032, 0.026, 0.283, 0.021, 0.019, 1.152, 0.145
256, 0.105, 0.031, 0.026, 0.287, 0.022, 0.019, 1.129, 0.144
256, 0.106, 0.031, 0.026, 0.283, 0.022, 0.019, 1.115, 0.143
256, 0.104, 0.031, 0.026, 0.283, 0.021, 0.020, 1.155, 0.143
256, 0.103, 0.030, 0.026, 0.282, 0.022, 0.019, 1.156, 0.145
256, 0.105, 0.031, 0.026, 0.281, 0.021, 0.020, 1.146, 0.144
256, 0.104, 0.031, 0.026, 0.283, 0.021, 0.020, 1.136, 0.143
256, 0.105, 0.037, 0.026, 0.283, 0.022, 0.020, 1.133, 0.144
256, 0.105, 0.032, 0.026, 0.290, 0.022, 0.020, 1.147, 0.144
256, 0.105, 0.031, 0.026, 0.287, 0.022, 0.019, 1.169, 0.144
256, 0.103, 0.030, 0.026, 0.289, 0.023, 0.019, 1.170, 0.144
256, 0.105, 0.032, 0.026, 0.302, 0.022, 0.020, 1.148, 0.145
256, 0.104, 0.030, 0.026, 0.284, 0.022, 0.020, 1.157, 0.152
256, 0.102, 0.030, 0.026, 0.282, 0.021, 0.020, 1.154, 0.146
256, 0.107, 0.030, 0.026, 0.284, 0.022, 0.019, 1.152, 0.234
256, 0.104, 0.036, 0.027, 0.286, 0.021, 0.019, 1.153, 0.144
256, 0.103, 0.031, 0.026, 0.284, 0.022, 0.019, 1.160, 0.144
256, 0.107, 0.030, 0.028, 0.287, 0.022, 0.020, 1.177, 0.145
256, 0.106, 0.030, 0.027, 0.285, 0.021, 0.020, 1.155, 0.144
256, 0.103, 0.030, 0.026, 0.283, 0.021, 0.019, 1.158, 0.150
256, 0.116, 0.031, 0.026, 0.293, 0.022, 0.021, 1.268, 0.155
256, 0.103, 0.031, 0.026, 0.282, 0.022, 0.019, 1.143, 0.143
256, 0.106, 0.031, 0.026, 0.285, 0.022, 0.019, 1.194, 0.148
256, 0.106, 0.031, 0.026, 0.300, 0.023, 0.019, 1.266, 0.152
256, 0.113, 0.031, 0.026, 0.281, 0.022, 0.020, 1.138, 0.144
512, 0.282, 0.091, 0.067, 1.078, 0.060, 0.067, 4.509, 0.428
512, 0.285, 0.091, 0.067, 1.071, 0.060, 0.066, 4.556, 0.416
512, 0.285, 0.091, 0.067, 1.066, 0.060, 0.066, 4.570, 0.414
512, 0.285, 0.091, 0.068, 1.076, 0.060, 0.072, 4.513, 0.417
512, 0.283, 0.092, 0.067, 1.077, 0.060, 0.066, 4.530, 0.426
512, 0.286, 0.092, 0.068, 1.116, 0.060, 0.065, 4.749, 0.430
512, 0.284, 0.092, 0.066, 1.097, 0.060, 0.064, 4.560, 0.424
512, 0.285, 0.090, 0.068, 1.134, 0.060, 0.065, 4.706, 0.427
512, 0.285, 0.092, 0.067, 1.084, 0.061, 0.070, 4.475, 0.418
512, 0.284, 0.092, 0.067, 1.074, 0.060, 0.066, 4.547, 0.413
512, 0.284, 0.092, 0.067, 1.069, 0.060, 0.066, 4.556, 0.419
512, 0.286, 0.093, 0.069, 1.146, 0.061, 0.068, 4.954, 0.425
512, 0.286, 0.091, 0.076, 1.072, 0.060, 0.067, 4.518, 0.414
512, 0.285, 0.090, 0.067, 1.066, 0.061, 0.065, 4.544, 0.419
512, 0.285, 0.092, 0.067, 1.077, 0.060, 0.066, 4.572, 0.414
512, 0.284, 0.091, 0.067, 1.091, 0.061, 0.064, 4.500, 0.417
512, 0.285, 0.091, 0.067, 1.092, 0.060, 0.064, 4.643, 0.417
512, 0.283, 0.092, 0.067, 1.081, 0.060, 0.065, 4.641, 0.414
512, 0.285, 0.092, 0.067, 1.086, 0.060, 0.065, 4.572, 0.416
512, 0.284, 0.091, 0.067, 1.084, 0.060, 0.063, 4.559, 0.418
512, 0.284, 0.091, 0.066, 1.080, 0.060, 0.064, 4.551, 0.417
512, 0.284, 0.092, 0.067, 1.122, 0.060, 0.065, 4.776, 0.418
512, 0.288, 0.093, 0.068, 1.180, 0.060, 0.064, 5.060, 0.462
512, 0.284, 0.092, 0.066, 1.081, 0.060, 0.064, 4.555, 0.414
512, 0.292, 0.091, 0.067, 1.072, 0.060, 0.066, 4.585, 0.413
512, 0.283, 0.099, 0.068, 1.091, 0.061, 0.064, 4.573, 0.416
512, 0.287, 0.092, 0.068, 1.156, 0.060, 0.066, 5.108, 0.460
512, 0.285, 0.092, 0.066, 1.176, 0.061, 0.066, 4.556, 0.415
512, 0.285, 0.092, 0.067, 1.068, 0.060, 0.068, 4.565, 0.418
512, 0.283, 0.091, 0.067, 1.082, 0.062, 0.063, 4.544, 0.416
1024, 0.989, 0.329, 0.218, 1.547, 0.221, 0.335, 13.237, 1.326
1024, 0.988, 0.330, 0.217, 1.554, 0.220, 0.331, 12.093, 1.330
1024, 0.988, 0.329, 0.216, 1.557, 0.220, 0.334, 13.198, 1.332
1024, 0.992, 0.332, 0.218, 1.617, 0.221, 0.335, 14.599, 1.417
1024, 0.989, 0.330, 0.217, 1.550, 0.221, 0.339, 12.173, 1.324
1024, 0.988, 0.330, 0.216, 1.544, 0.220, 0.336, 13.176, 1.328
1024, 0.989, 0.334, 0.217, 1.542, 0.220, 0.335, 13.239, 1.346
1024, 0.991, 0.331, 0.217, 1.637, 0.222, 0.339, 14.280, 1.459
1024, 0.988, 0.329, 0.216, 1.545, 0.220, 0.337, 13.151, 1.332
1024, 0.988, 0.331, 0.217, 1.534, 0.221, 0.337, 13.169, 1.326
1024, 0.995, 0.331, 0.218, 1.669, 0.222, 0.330, 15.911, 1.458
1024, 0.988, 0.330, 0.218, 1.540, 0.220, 0.338, 13.288, 1.324
1024, 0.989, 0.331, 0.217, 1.531, 0.220, 0.334, 13.148, 1.319
1024, 0.988, 0.329, 0.217, 1.558, 0.220, 0.338, 13.734, 1.327
1024, 0.994, 0.330, 0.222, 1.647, 0.221, 0.332, 14.489, 1.458
1024, 0.988, 0.331, 0.217, 1.562, 0.221, 0.331, 13.785, 1.331
1024, 1.003, 0.332, 0.217, 1.686, 0.221, 0.339, 15.274, 1.471
1024, 0.988, 0.330, 0.216, 1.565, 0.220, 0.339, 13.076, 1.340
1024, 0.992, 0.331, 0.218, 1.609, 0.221, 0.333, 14.324, 1.343
1024, 0.989, 0.329, 0.216, 1.562, 0.221, 0.331, 13.153, 1.332
1024, 0.988, 0.329, 0.217, 1.542, 0.220, 0.334, 13.144, 1.337
1024, 0.989, 0.330, 0.217, 1.534, 0.221, 0.341, 13.164, 1.327
1024, 0.987, 0.330, 0.216, 1.554, 0.220, 0.334, 13.260, 1.324
1024, 0.992, 0.330, 0.217, 1.545, 0.221, 0.332, 13.206, 1.321
1024, 0.989, 0.329, 0.217, 1.570, 0.221, 0.331, 13.695, 1.329
1024, 0.988, 0.330, 0.216, 1.537, 0.220, 0.333, 13.265, 1.317
1024, 0.987, 0.330, 0.217, 1.534, 0.220, 0.333, 13.165, 1.326
1024, 0.988, 0.331, 0.217, 1.542, 0.220, 0.334, 13.200, 1.331
1024, 0.996, 0.332, 0.218, 1.713, 0.222, 0.338, 16.128, 1.525
1024, 0.988, 0.331, 0.217, 1.549, 0.221, 0.334, 13.091, 1.327
2048, 3.783, 1.268, 0.743, 3.081, 0.848, 0.629, 40.260, 5.016
2048, 3.781, 1.263, 0.744, 3.094, 0.847, 0.627, 42.183, 4.928
2048, 3.783, 1.268, 0.744, 3.126, 0.848, 0.629, 40.647, 4.920
2048, 3.777, 1.264, 0.742, 3.113, 0.846, 0.625, 43.123, 4.965
2048, 3.767, 1.261, 0.743, 3.108, 0.845, 0.626, 41.237, 4.924
2048, 3.776, 1.264, 0.742, 3.091, 0.846, 0.626, 42.085, 4.924
2048, 3.789, 1.263, 0.743, 3.136, 0.845, 0.630, 42.236, 4.944
2048, 3.774, 1.264, 0.743, 3.119, 0.847, 0.629, 40.446, 4.957
2048, 3.775, 1.264, 0.742, 3.090, 0.846, 0.627, 42.011, 4.935
2048, 3.780, 1.265, 0.743, 3.148, 0.846, 0.631, 41.591, 4.924
2048, 3.780, 1.265, 0.745, 3.120, 0.848, 0.627, 41.782, 4.890
2048, 3.773, 1.262, 0.743, 3.134, 0.845, 0.628, 41.826, 4.956
2048, 3.780, 1.263, 0.743, 3.103, 0.846, 0.627, 41.595, 4.949
2048, 3.775, 1.265, 0.743, 3.108, 0.845, 0.626, 41.858, 4.933
2048, 3.782, 1.264, 0.744, 3.126, 0.846, 0.627, 40.484, 4.934
2048, 3.784, 1.265, 0.742, 3.125, 0.846, 0.626, 41.669, 4.919
2048, 3.770, 1.261, 0.741, 3.112, 0.845, 0.629, 42.017, 4.893
2048, 3.777, 1.266, 0.744, 3.100, 0.847, 0.626, 40.241, 5.022
2048, 3.771, 1.261, 0.742, 3.098, 0.846, 0.625, 41.217, 4.938
2048, 3.775, 1.262, 0.741, 3.111, 0.846, 0.625, 40.550, 5.156
2048, 3.772, 1.264, 0.744, 3.105, 0.846, 0.626, 41.648, 4.937
2048, 3.779, 1.264, 0.744, 3.129, 0.846, 0.625, 46.087, 4.960
2048, 3.798, 1.264, 0.743, 3.095, 0.846, 0.627, 42.443, 4.897
2048, 3.774, 1.263, 0.742, 3.113, 0.846, 0.625, 42.465, 4.934
2048, 3.774, 1.264, 0.742, 3.119, 0.846, 0.628, 40.574, 4.894
2048, 3.777, 1.263, 0.743, 3.192, 0.846, 0.627, 44.409, 5.016
2048, 3.785, 1.267, 0.743, 3.108, 0.847, 0.631, 40.576, 4.931
2048, 3.776, 1.264, 0.742, 3.124, 0.846, 0.628, 43.835, 4.950
2048, 3.781, 1.266, 0.744, 3.089, 0.849, 0.629, 41.575, 4.939
2048, 3.776, 1.266, 0.743, 3.115, 0.846, 0.627, 43.983, 4.947
4096, 14.998, 5.082, 3.227, 9.768, 3.442, 2.470, 123.058, 16.773
4096, 14.992, 5.083, 3.224, 9.799, 3.437, 2.471, 157.509, 19.027
4096, 14.969, 5.082, 3.221, 9.844, 3.438, 2.468, 156.242, 19.343
4096, 14.992, 5.084, 3.224, 9.816, 3.438, 2.466, 158.540, 19.035
4096, 15.000, 5.087, 3.228, 9.824, 3.443, 2.471, 155.517, 19.154
4096, 15.000, 5.090, 3.227, 9.798, 3.442, 2.470, 156.445, 19.067
4096, 14.993, 5.092, 3.226, 9.826, 3.440, 2.470, 158.940, 19.124
4096, 15.011, 5.088, 3.226, 9.847, 3.440, 2.476, 154.979, 19.142
4096, 15.012, 5.091, 3.228, 9.836, 3.441, 2.472, 158.161, 19.009
4096, 14.997, 5.093, 3.231, 9.814, 3.442, 2.473, 158.196, 19.092
4096, 14.991, 5.087, 3.222, 9.837, 3.439, 2.475, 157.870, 19.057
4096, 14.993, 5.080, 3.222, 9.803, 3.439, 2.469, 158.030, 20.931
4096, 14.971, 5.079, 3.227, 9.821, 3.437, 2.473, 155.213, 19.118
4096, 14.982, 5.076, 3.222, 9.823, 3.432, 2.466, 157.388, 18.982
4096, 14.981, 5.079, 3.222, 9.816, 3.435, 2.469, 161.282, 19.034
4096, 14.982, 5.084, 3.224, 9.835, 3.436, 2.470, 155.805, 19.039
4096, 14.992, 5.087, 3.227, 9.823, 3.434, 2.467, 156.267, 19.184
4096, 15.007, 5.091, 3.225, 9.883, 3.435, 2.469, 157.490, 20.673
4096, 14.990, 5.081, 3.218, 9.825, 3.434, 2.466, 160.897, 19.179
4096, 14.971, 5.078, 3.221, 9.818, 3.439, 2.468, 157.666, 19.196
4096, 15.001, 5.087, 3.223, 9.816, 3.440, 2.469, 156.638, 19.022
4096, 14.999, 5.088, 3.221, 9.798, 3.441, 2.473, 155.994, 19.195
4096, 15.001, 5.090, 3.230, 9.833, 3.442, 2.476, 158.514, 19.049
4096, 14.971, 5.081, 3.222, 9.807, 3.434, 2.467, 156.516, 19.083
4096, 14.998, 5.089, 3.226, 9.814, 3.440, 2.471, 156.747, 19.152
4096, 14.980, 5.081, 3.220, 9.855, 3.437, 2.466, 155.166, 19.022
4096, 14.959, 5.071, 3.220, 9.815, 3.432, 2.467, 158.452, 19.188
4096, 14.982, 5.078, 3.220, 9.842, 3.431, 2.465, 156.602, 19.039
4096, 14.960, 5.072, 3.216, 9.840, 3.428, 2.465, 158.461, 19.061
4096, 14.991, 5.090, 3.225, 9.849, 3.438, 2.466, 160.217, 19.079
8192, 89.214, 20.233, 12.167, 37.629, 12.536, 9.963, 630.786, 71.890
8192, 89.208, 20.223, 12.163, 37.209, 11.620, 9.366, 609.957, 71.640
8192, 89.184, 20.219, 12.173, 37.822, 11.623, 9.368, 544.621, 71.355
8192, 89.225, 19.295, 11.217, 37.100, 11.620, 9.366, 577.985, 71.108
8192, 89.263, 20.208, 12.171, 37.579, 11.624, 9.935, 492.233, 71.425
8192, 89.233, 20.196, 12.153, 37.502, 12.518, 9.929, 478.760, 71.417
8192, 89.110, 18.631, 11.214, 37.161, 11.618, 9.373, 607.493, 71.110
8192, 89.146, 20.188, 11.292, 37.183, 11.619, 9.364, 624.605, 72.080
8192, 89.224, 20.206, 12.146, 37.567, 12.525, 9.947, 496.462, 71.361
8192, 89.256, 20.195, 12.166, 37.447, 12.012, 9.958, 523.812, 70.989
8192, 89.199, 20.223, 12.172, 38.688, 11.617, 9.371, 587.674, 73.681
8192, 89.168, 20.179, 11.704, 37.140, 11.624, 9.367, 609.575, 71.418
8192, 89.255, 20.226, 12.173, 37.562, 12.542, 9.964, 623.227, 71.482
8192, 89.194, 20.249, 12.186, 37.448, 12.279, 9.960, 506.595, 70.981
8192, 89.175, 20.244, 12.175, 37.548, 12.490, 9.957, 612.487, 72.666
8192, 89.260, 20.245, 12.169, 37.555, 12.523, 9.950, 578.343, 71.502
8192, 89.099, 20.236, 12.171, 37.558, 12.526, 9.942, 520.287, 71.721
8192, 89.233, 20.234, 12.175, 37.592, 12.531, 9.956, 568.590, 71.629
8192, 89.145, 20.240, 12.185, 37.543, 12.332, 9.961, 480.573, 71.547
8192, 89.165, 20.162, 12.143, 37.616, 12.505, 9.934, 623.199, 71.246
8192, 88.922, 18.620, 11.215, 37.079, 11.621, 9.365, 589.784, 71.741
8192, 89.282, 20.207, 12.155, 37.628, 12.517, 9.940, 612.353, 72.420
8192, 89.204, 20.221, 12.173, 37.538, 12.027, 9.950, 599.387, 71.072
8192, 89.245, 20.206, 12.165, 37.622, 12.519, 9.933, 612.721, 72.852
8192, 89.312, 20.258, 12.180, 37.648, 13.698, 9.966, 530.647, 71.331
8192, 89.229, 20.243, 12.187, 38.309, 11.620, 9.369, 608.614, 72.682
8192, 89.296, 20.247, 12.174, 37.520, 11.624, 9.374, 525.359, 71.930
8192, 89.168, 20.265, 12.185, 37.566, 12.521, 9.952, 488.063, 71.708
8192, 89.000, 18.644, 11.224, 37.179, 11.632, 9.366, 597.057, 71.650
8192, 89.305, 20.257, 12.191, 37.271, 11.636, 9.373, 525.481, 70.991
10240, 347.585, 28.735, 14.001, 57.720, 15.477, 15.965, 751.227, 109.506
10240, 348.525, 29.930, 13.998, 58.105, 16.789, 16.275, 837.000, 112.443
10240, 347.533, 28.710, 13.992, 57.659, 15.483, 15.956, 741.565, 108.740
10240, 347.753, 28.719, 13.994, 59.907, 15.477, 15.959, 822.277, 109.138
10240, 346.016, 28.481, 13.005, 57.376, 14.951, 15.840, 789.590, 109.130
10240, 347.449, 28.717, 13.990, 57.497, 15.488, 15.963, 748.631, 109.672
10240, 347.366, 28.711, 13.990, 57.854, 15.490, 15.963, 778.141, 112.237
10240, 347.827, 28.711, 13.993, 57.811, 15.485, 15.964, 748.899, 109.838
10240, 348.659, 30.105, 13.996, 58.198, 16.799, 16.278, 885.009, 109.640
10240, 348.061, 28.719, 13.992, 58.045, 16.026, 16.264, 749.012, 109.474
10240, 347.505, 28.708, 13.994, 57.564, 15.484, 15.939, 750.951, 110.243
10240, 347.548, 28.716, 13.991, 57.588, 15.481, 15.953, 761.090, 112.178
10240, 347.293, 28.728, 13.991, 57.526, 15.481, 15.967, 749.963, 103.260
10240, 346.225, 28.338, 12.981, 57.383, 14.928, 15.834, 754.435, 109.870
10240, 347.525, 28.720, 13.993, 57.612, 15.480, 15.965, 751.033, 111.145
10240, 347.626, 28.717, 13.993, 57.924, 15.494, 15.972, 793.416, 111.109
10240, 348.647, 29.366, 13.997, 58.095, 16.793, 16.278, 751.092, 108.300
10240, 347.627, 28.722, 13.988, 57.978, 15.489, 15.962, 874.233, 109.844
10240, 347.473, 28.737, 13.991, 57.672, 15.485, 15.954, 747.166, 111.473
10240, 348.570, 28.743, 13.992, 58.168, 16.786, 16.283, 753.843, 109.232
10240, 347.292, 28.726, 13.995, 57.303, 15.484, 15.960, 803.322, 110.221
10240, 347.317, 28.721, 13.993, 57.575, 15.485, 15.975, 754.381, 109.656
10240, 347.482, 28.723, 13.988, 57.582, 15.486, 15.967, 749.792, 109.678
10240, 347.837, 28.720, 13.994, 57.912, 15.485, 15.959, 747.713, 109.218
10240, 347.656, 28.717, 13.991, 57.645, 15.490, 15.967, 775.062, 109.666
10240, 348.126, 28.717, 13.996, 58.079, 16.629, 16.281, 770.750, 110.170
10240, 348.569, 28.726, 13.993, 58.072, 16.788, 16.269, 756.510, 109.473
10240, 347.428, 28.716, 13.997, 57.486, 15.484, 15.963, 750.964, 109.648
10240, 347.246, 28.723, 13.788, 57.201, 15.486, 15.970, 751.078, 108.827
10240, 348.863, 29.695, 14.000, 58.201, 16.790, 16.273, 819.419, 109.374
