arraysize,dtoh,htod
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.03
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.03
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
1K,0.03,0.02
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.04,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.04,0.03
2K,0.03,0.03
2K,0.04,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.04,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
2K,0.03,0.03
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.05
4K,0.05,0.04
4K,0.04,0.04
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.04
4K,0.04,0.05
4K,0.05,0.04
4K,0.04,0.05
4K,0.04,0.05
4K,0.04,0.04
4K,0.04,0.05
4K,0.04,0.05
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.08
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.08
8K,0.05,0.07
8K,0.05,0.08
8K,0.05,0.08
8K,0.05,0.08
8K,0.05,0.08
8K,0.05,0.08
8K,0.05,0.08
8K,0.05,0.07
8K,0.05,0.08
8K,0.05,0.09
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.07
8K,0.05,0.08
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.08,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.08,0.14
16K,0.07,0.14
16K,0.07,0.13
16K,0.07,0.13
16K,0.08,0.14
16K,0.07,0.14
16K,0.07,0.13
16K,0.06,0.12
16K,0.07,0.13
16K,0.08,0.15
16K,0.08,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.12
16K,0.07,0.13
16K,0.07,0.13
16K,0.07,0.14
16K,0.07,0.13
16K,0.08,0.15
16K,0.07,0.13
32K,0.09,0.25
32K,0.09,0.26
32K,0.09,0.22
32K,0.1,0.27
32K,0.09,0.25
32K,0.09,0.25
